1,1,1
1,1,2
1,1,9
1,1,13
1,1,14
1,1,15
1,1,16
1,1,19
1,1,20
1,1,21
1,1,22
2,1,23
2,1,26
2,1,28
2,1,31
2,1,6
2,1,20
1,2,33
1,2,34
1,2,35
1,2,36
1,2,37
1,2,38
1,2,39
2,2,40
2,2,41
2,2,42
2,2,43
2,2,44
2,2,45
2,2,46
2,2,47
2,2,48
2,2,49
3,2,50
3,2,51
3,2,52
3,2,53
3,2,54
4,2,55
4,2,56
4,2,57
4,2,58
4,2,59
4,2,60
4,2,61
4,2,62
4,2,63
4,2,64
4,2,65
4,2,66
4,2,67
4,2,68
4,2,69
4,2,70
4,2,71
4,2,72
4,2,73
4,2,74
4,2,75
4,2,76
1,3,91
1,3,99
1,3,100
2,3,103
2,3,95
1,4,21
1,4,26
1,4,40
1,4,65
1,4,87
1,4,63
1,4,94
1,4,100
1,5,1
1,5,2
1,5,3
1,5,4
1,5,5
1,5,6
1,6,35
1,6,36
1,6,37
2,6,38
2,6,39
2,6,40
1,7,35
1,7,36
1,7,37
1,7,38
1,7,39
1,7,40
1,7,41
1,7,42
1,7,43
1,7,44
1,7,45
1,7,46
1,7,47
2,7,48
2,7,49
2,7,50
2,7,51
2,7,52
2,7,53
2,7,54
2,7,55
2,7,56
2,7,57
2,7,58
2,7,59
2,7,60
2,7,61
2,7,62
2,7,63
3,7,64
3,7,65
3,7,66
3,7,67
3,7,68
3,7,69
3,7,70
3,7,71
3,7,72
3,7,73
3,7,74
3,7,75
3,7,76
3,7,77
3,7,78
3,7,79
3,7,80
3,7,81
3,7,82
3,7,83
3,7,84
